"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1918","test_duckduckgo_json_driven[chromium-Senior QA Interview Questions]","tests","Wed Apr 01 17:33:53 UTC 2026","passed","Wed Apr 01 17:33:55 UTC 2026","","test_smoke","",""
"","2131","test_duckduckgo_json_driven[This String Will Definitely Not Be In The Title]","tests","Mon Mar 30 16:25:23 UTC 2026","passed","Mon Mar 30 16:25:25 UTC 2026","","test_smoke","",""
"","1225","test_duckduckgo_json_driven[webkit-This String Will Definitely Not Be In The Title]","tests","Mon Mar 30 16:36:58 UTC 2026","failed","Mon Mar 30 16:36:59 UTC 2026","","test_smoke","",""
"","2230","test_duckduckgo_search_data_driven[Selenium vs Playwright]","tests","Sat Mar 28 18:39:28 UTC 2026","passed","Sat Mar 28 18:39:30 UTC 2026","","test_smoke","",""
"","3728","test_duckduckgo_json_driven[webkit-Senior QA Interview Questions]","tests","Wed Apr 01 18:15:02 UTC 2026","passed","Wed Apr 01 18:15:05 UTC 2026","","test_smoke","",""
"","322","test_duckduckgo_json_driven[firefox-Playwright Python Automation]","tests","Mon Mar 30 16:45:22 UTC 2026","passed","Mon Mar 30 16:45:23 UTC 2026","","test_smoke","",""
"","3869","test_duckduckgo_json_driven[chromium-Playwright Python]","","Wed Apr 01 17:25:16 UTC 2026","broken","Wed Apr 01 17:25:20 UTC 2026","","","",""
"","2306","test_duckduckgo_json_driven[Playwright Python Automation]","tests","Mon Mar 30 16:25:10 UTC 2026","passed","Mon Mar 30 16:25:12 UTC 2026","","test_smoke","",""
"","328","test_duckduckgo_json_driven[firefox-OmniStore E-commerce Testing]","tests","Mon Mar 30 16:45:26 UTC 2026","passed","Mon Mar 30 16:45:26 UTC 2026","","test_smoke","",""
"","94","test_get_product_details","tests","Wed Apr 01 18:14:51 UTC 2026","passed","Wed Apr 01 18:14:51 UTC 2026","","test_api","",""
"","2276","test_duckduckgo_json_driven[Playwright Python]","tests","Mon Mar 30 16:25:20 UTC 2026","passed","Mon Mar 30 16:25:23 UTC 2026","","test_smoke","",""
"","899","test_duckduckgo_json_driven[chromium-This String Will Definitely Not Be In The Title]","tests","Mon Mar 30 16:36:24 UTC 2026","failed","Mon Mar 30 16:36:25 UTC 2026","","test_smoke","",""
"","5628","test_api_create_and_ui_verify[webkit]","tests","Wed Apr 01 18:14:52 UTC 2026","passed","Wed Apr 01 18:14:57 UTC 2026","","test_hybrid","",""
"","2247","test_duckduckgo_search_data_driven[QA Automation Best Practices]","tests","Sat Mar 28 18:39:30 UTC 2026","passed","Sat Mar 28 18:39:33 UTC 2026","","test_smoke","",""
"","1204","test_duckduckgo_json_driven[firefox-This String Will Definitely Not Be In The Title]","tests","Mon Mar 30 16:36:40 UTC 2026","failed","Mon Mar 30 16:36:41 UTC 2026","","test_smoke","",""
"","3399","test_duckduckgo_json_driven[webkit-OmniStore E-commerce Testing]","tests","Wed Apr 01 18:15:05 UTC 2026","passed","Wed Apr 01 18:15:09 UTC 2026","","test_smoke","",""
"","374","test_duckduckgo_json_driven[firefox-Playwright Python]","tests","Mon Mar 30 16:45:29 UTC 2026","passed","Mon Mar 30 16:45:29 UTC 2026","","test_smoke","",""
"","328","test_duckduckgo_json_driven[firefox-Senior QA Interview Questions]","tests","Mon Mar 30 16:45:24 UTC 2026","passed","Mon Mar 30 16:45:24 UTC 2026","","test_smoke","",""
"","3686","test_duckduckgo_json_driven[chromium-Pytest Parametrize Tutorial]","tests","Wed Apr 01 17:33:59 UTC 2026","passed","Wed Apr 01 17:34:02 UTC 2026","","test_smoke","",""
"","2192","test_duckduckgo_json_driven[sdafssgdsaf]","tests","Mon Mar 30 16:10:07 UTC 2026","passed","Mon Mar 30 16:10:10 UTC 2026","","test_smoke","",""
"","2213","test_duckduckgo_json_driven[Senior QA Interview Questions]","tests","Mon Mar 30 16:25:13 UTC 2026","passed","Mon Mar 30 16:25:15 UTC 2026","","test_smoke","",""
"","2226","test_practice_search","tests","Sat Mar 28 18:15:23 UTC 2026","passed","Sat Mar 28 18:15:25 UTC 2026","","test_smoke","",""
"","323","test_duckduckgo_json_driven[firefox-Pytest Parametrize Tutorial]","tests","Mon Mar 30 16:45:27 UTC 2026","passed","Mon Mar 30 16:45:27 UTC 2026","","test_smoke","",""
"","3217","test_duckduckgo_json_driven[webkit-Pytest Parametrize Tutorial]","tests","Wed Apr 01 18:15:09 UTC 2026","passed","Wed Apr 01 18:15:12 UTC 2026","","test_smoke","",""
"","3677","test_duckduckgo_json_driven[webkit-Playwright Python Automation]","tests","Wed Apr 01 18:14:58 UTC 2026","passed","Wed Apr 01 18:15:01 UTC 2026","","test_smoke","",""
"","2244","test_duckduckgo_json_driven[ThisWillDefinitelyFailTheAssertion]","tests","Mon Mar 30 16:07:01 UTC 2026","passed","Mon Mar 30 16:07:03 UTC 2026","","test_smoke","",""
"","2990","test_duckduckgo_json_driven[chromium-Playwright Python]","tests","Wed Apr 01 17:34:03 UTC 2026","passed","Wed Apr 01 17:34:06 UTC 2026","","test_smoke","",""
"","3194","test_duckduckgo_json_driven[chromium-OmniStore E-commerce Testing]","tests","Wed Apr 01 17:33:55 UTC 2026","passed","Wed Apr 01 17:33:58 UTC 2026","","test_smoke","",""
